# {"pwd":"/Users/rakheendama/Projects/2026/maestro/.claude/worktrees/multi-instance-verification/maestro-integration-tests","gitHead":"7113e069eca5f3ba3bdaa8d519f878cef542de22","branch":"worktree-multi-instance-verification","timestampUtc":"2026-08-01T21:43:25.642467Z","seed":-6973268155056049009,"mode":"SOAK","runId":"20260801-214325--6973268155056049009"}
windowStartUtc,windowSecs,liveNodes,running,waitingSignal,waitingTimer,compensating,recoveryCalls,recoveryRatePerSec,lockProbeCalls,lockRenewCalls,subscribeCalls,unsubscribeCalls,pubsubChannels,chaosActive
2026-08-01T21:44:06.057860Z,15,6,0,0,0,0,0,0.000,3,16,0,0,0,false
2026-08-01T21:44:21.173387Z,15,6,0,5,12,0,0,0.000,59,69,20,15,5,false
2026-08-01T21:44:36.318945Z,15,6,0,10,20,0,0,0.000,133,163,55,50,10,false
2026-08-01T21:44:51.457119Z,15,6,0,12,8,0,2,0.133,144,210,70,68,12,false
2026-08-01T21:45:06.592452Z,15,5,0,18,11,0,4,0.267,122,140,26,20,18,true
2026-08-01T21:45:21.740198Z,15,5,0,21,7,0,0,0.000,94,141,34,31,21,true
2026-08-01T21:45:36.881346Z,15,5,0,24,6,0,0,0.000,48,78,11,8,24,true
2026-08-01T21:45:52.016378Z,15,6,0,26,15,0,2,0.133,173,217,103,93,26,false
2026-08-01T21:46:07.172543Z,15,6,0,28,9,0,4,0.267,171,223,67,65,28,false
2026-08-01T21:46:22.300640Z,15,6,0,32,12,0,0,0.000,97,173,44,40,32,false
2026-08-01T21:46:37.455555Z,15,5,0,33,2,0,0,0.000,54,120,18,17,33,true
2026-08-01T21:46:52.606289Z,15,5,0,30,4,0,1,0.067,51,82,9,12,36,true
2026-08-01T21:47:07.750198Z,15,5,0,33,10,0,4,0.267,52,101,12,9,39,true
2026-08-01T21:47:22.888730Z,15,5,0,31,5,0,0,0.000,133,193,80,82,37,true
2026-08-01T21:47:38.033525Z,15,6,0,29,7,0,1,0.067,65,130,21,29,29,false
2026-08-01T21:47:53.177905Z,15,6,0,24,9,0,1,0.067,68,124,31,38,24,false
2026-08-01T21:48:08.307656Z,15,5,0,28,8,0,4,0.267,77,113,14,10,28,true
2026-08-01T21:48:23.459635Z,15,5,0,31,8,0,0,0.000,76,113,22,19,31,true
2026-08-01T21:48:38.599778Z,15,5,0,35,11,0,1,0.067,81,113,16,12,35,true
2026-08-01T21:48:53.702219Z,15,5,0,25,3,0,1,0.067,111,159,65,75,25,true
2026-08-01T21:49:08.841212Z,15,6,0,25,10,0,4,0.267,159,192,58,58,25,false
2026-08-01T21:49:23.980027Z,15,6,0,19,6,0,0,0.000,100,157,52,58,19,false
2026-08-01T21:49:39.107038Z,15,5,0,23,3,0,1,0.067,44,93,21,15,23,true
2026-08-01T21:49:54.256886Z,15,5,0,25,3,0,0,0.000,33,83,10,8,25,true
2026-08-01T21:50:09.438892Z,15,5,0,29,3,0,4,0.267,36,80,8,4,29,true
2026-08-01T21:50:24.577150Z,15,5,0,34,23,0,0,0.000,96,149,26,21,34,true
2026-08-01T21:50:39.709114Z,15,6,0,32,2,0,2,0.133,189,294,99,101,32,false
2026-08-01T21:50:54.831755Z,15,6,0,35,15,0,0,0.000,76,122,26,23,35,false
2026-08-01T21:51:09.994262Z,15,6,0,36,15,0,4,0.267,142,222,50,49,38,false
2026-08-01T21:51:25.127094Z,15,5,0,40,19,0,0,0.000,122,176,38,36,40,true
2026-08-01T21:51:40.249916Z,15,5,0,36,16,0,1,0.067,31,132,16,20,36,true
2026-08-01T21:51:55.388055Z,15,6,0,38,20,0,0,0.000,39,110,13,11,37,false
2026-08-01T21:52:10.521081Z,15,6,0,37,14,0,5,0.333,197,279,83,84,37,false
2026-08-01T21:52:25.647646Z,15,5,0,39,13,0,1,0.067,133,188,43,41,39,true
2026-08-01T21:52:40.803450Z,15,5,0,47,22,0,0,0.000,113,156,35,27,47,true
2026-08-01T21:52:55.939257Z,15,5,0,52,8,0,1,0.067,101,200,21,16,52,true
2026-08-01T21:53:11.065493Z,15,5,0,43,0,0,3,0.200,124,178,91,100,43,true
2026-08-01T21:53:26.180243Z,15,6,0,36,16,0,2,0.133,134,191,48,48,35,false
2026-08-01T21:53:41.296249Z,15,6,0,35,4,0,0,0.000,160,273,76,77,36,false
2026-08-01T21:53:56.425511Z,15,6,0,36,12,0,1,0.067,83,144,36,35,37,false
2026-08-01T21:54:11.601140Z,15,5,0,36,22,0,3,0.200,64,139,12,15,38,true
2026-08-01T21:54:26.739712Z,15,5,0,40,11,0,2,0.133,169,229,67,64,43,true
2026-08-01T21:54:41.906309Z,15,5,0,41,9,0,0,0.000,91,198,42,43,42,true
2026-08-01T21:54:57.043215Z,15,5,0,40,0,0,1,0.067,101,187,50,48,44,true
2026-08-01T21:55:12.164731Z,15,6,0,36,9,0,3,0.200,103,185,42,51,35,false
2026-08-01T21:55:27.285333Z,15,6,0,42,8,0,2,0.133,179,234,62,55,42,false
2026-08-01T21:55:42.426631Z,15,5,0,39,14,0,0,0.000,130,239,51,54,39,true
2026-08-01T21:55:57.581866Z,15,5,0,40,8,0,1,0.067,115,178,55,54,40,true
2026-08-01T21:56:12.775513Z,15,5,0,46,7,0,2,0.133,115,213,47,33,46,true
2026-08-01T21:56:27.917110Z,15,5,0,40,5,0,2,0.133,232,300,112,118,40,true
2026-08-01T21:56:43.062296Z,15,6,0,37,5,0,1,0.067,116,203,42,48,36,false
2026-08-01T21:56:58.199555Z,15,6,0,37,10,0,1,0.067,52,115,21,21,37,false
2026-08-01T21:57:13.340738Z,15,6,0,34,5,0,2,0.133,108,196,46,49,38,false
2026-08-01T21:57:28.492310Z,15,6,0,30,4,0,2,0.133,98,161,32,36,35,false
2026-08-01T21:57:43.599769Z,15,5,0,31,9,0,1,0.067,46,110,16,15,36,true
2026-08-01T21:57:58.770480Z,15,5,0,28,5,0,1,0.067,28,96,14,17,33,true
2026-08-01T21:58:13.904726Z,15,6,0,31,0,0,2,0.133,62,141,23,25,31,false
2026-08-01T21:58:29.059166Z,15,6,0,34,9,0,2,0.133,175,215,66,63,34,false
2026-08-01T21:58:44.184606Z,15,6,0,30,8,0,1,0.067,109,210,44,48,30,false
2026-08-01T21:58:59.306844Z,15,6,0,29,4,0,3,0.200,97,126,40,41,29,false
2026-08-01T21:59:14.465478Z,15,6,0,37,16,0,1,0.067,117,180,39,31,37,false
2026-08-01T21:59:29.670383Z,15,5,0,33,8,0,2,0.133,108,197,41,45,33,true
2026-08-01T21:59:44.845059Z,15,5,0,38,10,0,0,0.000,29,90,9,4,38,true
2026-08-01T22:00:00.027149Z,15,5,0,41,5,0,3,0.200,113,183,45,41,42,true
2026-08-01T22:00:15.191232Z,15,5,0,43,21,0,0,0.000,101,189,38,37,43,true
2026-08-01T22:00:30.332402Z,15,5,0,39,9,0,2,0.133,187,281,88,92,39,true
2026-08-01T22:00:45.490548Z,15,6,0,45,9,0,1,0.067,171,255,54,48,45,false
2026-08-01T22:01:00.656353Z,15,6,0,50,21,0,3,0.200,137,209,43,38,50,false
2026-08-01T22:01:15.818009Z,15,6,0,52,6,0,0,0.000,125,246,61,59,52,false
2026-08-01T22:01:30.976066Z,15,5,0,50,11,0,2,0.133,95,161,22,24,50,true
2026-08-01T22:01:46.114068Z,15,5,0,51,6,0,1,0.067,64,136,22,21,51,true
2026-08-01T22:02:01.265935Z,15,5,0,52,12,0,2,0.133,61,152,33,19,53,true
2026-08-01T22:02:16.422381Z,15,5,0,45,4,0,0,0.000,152,266,82,89,46,true
